XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OCLKD001-MES07-071; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;71;roccia;rock
CodeBarre;OCLKD001-MES07-059; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;59;oceano;ocean
CodeBarre;OCLKD001-MES07-041; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;41;grigio scuro;dark grey
CodeBarre;OCLKD001-MES07-055; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;55;nero;black
CodeBarre;OCLKD001-MES07-086; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;86;tortora;dove-grey
CodeBarre;OCLKS007-SIS01-004; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;4;argento;silver
CodeBarre;OCLKS007-SIS01-055; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;55;nero;black
CodeBarre;OCLKS007-SIS01-008; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;8;bianco;white
CodeBarre;OCLKS007-SIS01-020; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;20;bronzo;bronze
CodeBarre;OCLKS007-SIS01-039; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;39;grigio;great
CodeBarre;OCLKS007-SIS01-009; O bag 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;9;blu;blue
